Tiempo,EncA,EncB,EncC,EncD,vA,vB,vC,vD,iA,iB,iC,iD,pwmA,pwmB,pwmC,pwmD
0.0,0,0,0,0,-5,5,-5,3,2.64,2.53,3.41,2.69,6450,6450,6450,6450
0.05000495910644531,-26,27,-24,25,-133,129,-111,122,1.65,1.1,2.03,1.81,6450,6450,6450,6450
0.1000058650970459,-69,67,-62,62,-274,276,-263,266,1.7,1.81,0.82,0.93,6450,6450,6450,6450
0.1500089168548584,-114,112,-111,108,-417,429,-414,408,1.04,0.6,0.82,0.55,6450,6450,6450,6450
0.20000982284545898,-159,166,-162,156,-530,550,-543,525,0.88,0.38,0.77,0.38,6450,6450,6450,6450
0.25001001358032227,-217,225,-221,211,-659,678,-672,642,0.88,0.88,0.66,0.05,6450,6450,6450,6450
0.30001091957092285,-276,277,-279,268,-754,761,-769,740,0.93,0.77,0.77,0.16,6450,6450,6450,6450
0.35001397132873535,-323,326,-327,316,-821,812,-832,804,0.88,1.04,0.88,0.22,6450,6450,6450,6450
0.40001583099365234,-376,377,-383,370,-866,856,-888,866,0.82,0.93,0.88,0.05,6450,6450,6450,6450
0.4500160217285156,-434,431,-438,428,-915,903,-937,915,0.82,0.66,0.71,0.11,6450,6450,6450,6450
0.500018835067749,-489,488,-497,483,-959,940,-976,950,0.88,0.38,0.82,0.11,6450,6450,6450,6450
0.5500190258026123,-547,543,-556,541,-987,977,-1005,981,0.88,0.49,0.82,0.0,6450,6450,6450,6450
0.6000199317932129,-601,602,-611,600,-1002,1005,-1028,1012,0.88,0.44,0.82,0.33,6450,6450,6450,6450
0.650022029876709,-652,650,-659,648,-1021,1026,-1039,1027,0.93,0.16,0.88,0.16,6450,6450,6450,6450
0.7000248432159424,-704,706,-715,696,-1039,1046,-1058,1020,0.82,0.38,0.88,0.16,6450,6450,6450,6450
0.7500259876251221,-759,758,-768,748,-1056,1060,-1069,1031,0.88,0.88,0.88,0.05,6450,6450,6450,6450
0.8000290393829346,-823,822,-831,810,-1073,1072,-1080,1045,0.82,0.05,0.77,0.05,6450,6450,6450,6450
0.8500308990478516,-870,874,-883,856,-1071,1078,-1084,1048,0.99,0.27,0.88,0.11,6450,6450,6450,6450
0.9000329971313477,-919,929,-938,910,-1052,1089,-1093,1056,0.93,0.11,0.77,0.11,6450,6450,6450,6450
0.9500339031219482,-975,982,-992,966,-1052,1078,-1083,1053,0.82,0.93,0.88,0.11,6450,6450,6450,6450
1.0000348091125488,-1026,1033,-1045,1015,-1060,1071,-1081,1055,0.88,0.93,0.82,0.05,6450,6450,6450,6450
1.0500359535217285,-1085,1091,-1103,1074,-1066,1070,-1087,1047,1.04,1.04,0.82,0.6,6450,6450,6450,6450
1.100036859512329,-1138,1141,-1159,1121,-1068,1068,-1087,1044,0.88,0.82,0.66,0.05,6450,6450,6450,6450
1.1500389575958252,-1189,1194,-1210,1171,-1073,1068,-1090,1047,0.93,0.99,0.44,0.05,6450,6450,6450,6450
1.2000398635864258,-1247,1250,-1268,1231,-1082,1064,-1091,1050,0.88,0.88,0.88,0.05,6450,6450,6450,6450
1.2500429153442383,-1299,1301,-1320,1278,-1088,1070,-1094,1058,0.82,0.93,0.82,0.0,6450,6450,6450,6450
1.3000438213348389,-1357,1360,-1379,1339,-1088,1082,-1097,1063,0.88,0.93,0.82,0.05,6450,6450,6450,6450
1.350045919418335,-1417,1416,-1438,1393,-1092,1088,-1099,1066,0.88,0.27,0.93,0.22,6450,6450,6450,6450
1.400048017501831,-1468,1468,-1486,1441,-1092,1093,-1106,1057,0.82,0.05,0.77,0.27,6450,6450,6450,6450
1.4500489234924316,-1523,1528,-1546,1497,-1090,1098,-1106,1055,0.88,0.71,0.71,0.11,6450,6450,6450,6450
1.5000510215759277,-1577,1579,-1598,1549,-1091,1097,-1106,1067,0.93,0.99,0.77,0.05,6450,6450,6450,6450
1.5500519275665283,-1631,1636,-1657,1608,-1086,1088,-1107,1077,0.93,0.77,0.71,0.0,6450,6450,6450,6450
1.6000549793243408,-1684,1689,-1712,1660,-1083,1089,-1109,1085,0.93,0.88,0.82,0.05,6450,6450,6450,6450
1.6500568389892578,-1737,1740,-1763,1715,-1078,1090,-1101,1091,0.88,0.71,0.49,0.05,6450,6450,6450,6450
1.7000579833984375,-1792,1800,-1822,1771,-1082,1094,-1102,1092,0.82,0.49,0.71,0.0,6450,6450,6450,6450
1.750058889389038,-1847,1849,-1873,1825,-1090,1082,-1101,1091,0.88,0.93,0.82,0.11,6450,6450,6450,6450
1.8000609874725342,-1903,1902,-1932,1875,-1092,1082,-1105,1068,0.93,0.11,0.71,0.11,6450,6450,6450,6450
1.8500628471374512,-1957,1960,-1988,1928,-1094,1084,-1104,1068,0.88,0.33,0.82,0.11,6450,6450,6450,6450
1.9000649452209473,-2011,2009,-2040,1982,-1091,1072,-1107,1071,0.88,0.88,0.82,0.0,6450,6450,6450,6450
1.9500658512115479,-2068,2070,-2102,2043,-1084,1080,-1109,1072,0.88,0.66,0.82,0.0,6450,6450,6450,6450
2.000066041946411,-2118,2118,-2151,2090,-1080,1085,-1109,1074,0.82,0.33,0.71,0.05,6450,6450,6450,6450
2.050067901611328,-2173,2174,-2206,2144,-1084,1093,-1110,1076,0.77,0.22,0.88,0.22,6450,6450,6450,6450
2.100069999694824,-2228,2230,-2262,2197,-1087,1094,-1108,1073,0.77,0.27,0.77,0.27,6450,6450,6450,6450
2.1500728130340576,-2283,2287,-2321,2253,-1091,1089,-1108,1063,0.82,0.38,0.93,0.33,6450,6450,6450,6450
2.200073003768921,-2337,2341,-2376,2300,-1092,1090,-1110,1056,0.82,0.05,0.88,0.05,6450,6450,6450,6450
2.250074863433838,-2391,2393,-2432,2354,-1090,1092,-1111,1065,0.82,0.77,0.77,0.0,6450,6450,6450,6450
2.3000760078430176,-2447,2447,-2484,2409,-1092,1089,-1109,1069,0.88,0.38,0.82,0.27,6450,6450,6450,6450
2.350080966949463,-2501,2500,-2540,2462,-1094,1087,-1111,1067,0.93,0.27,0.77,0.11,6450,6450,6450,6450
2.4000840187072754,-2557,2557,-2599,2516,-1100,1079,-1110,1065,0.88,0.88,0.82,0.38,6450,6450,6450,6450
2.450086832046509,-2613,2612,-2654,2569,-1100,1084,-1108,1068,0.93,0.38,0.88,0.05,6450,6450,6450,6450
2.5000898838043213,-2668,2662,-2710,2624,-1100,1081,-1109,1074,0.82,0.88,0.88,0.05,6450,6450,6450,6450
2.5500919818878174,-2723,2714,-2761,2676,-1099,1072,-1111,1067,0.88,0.71,0.55,0.11,6450,6450,6450,6450
2.600097894668579,-2777,2768,-2817,2730,-1095,1073,-1109,1074,0.82,0.66,0.66,0.22,6450,6450,6450,6450
2.650099992752075,-2831,2820,-2872,2785,-1097,1066,-1111,1075,0.99,0.82,0.82,0.27,6450,6450,6450,6450
2.700100898742676,-2885,2878,-2932,2838,-1089,1075,-1110,1072,0.93,0.66,0.66,0.16,6450,6450,6450,6450
2.750105857849121,-2937,2934,-2987,2890,-1083,1083,-1111,1066,0.93,0.27,0.55,0.11,6450,6450,6450,6450
2.800112009048462,-2992,2986,-3039,2941,-1082,1091,-1109,1056,0.93,0.33,0.77,0.16,6450,6450,6450,6450
2.850123882293701,-3046,3042,-3094,2993,-1081,1098,-1112,1053,0.82,0.88,0.77,0.0,6450,6450,6450,6450
2.900125026702881,-3098,3097,-3150,3043,-1073,1094,-1109,1042,0.82,0.93,0.88,0.55,6450,6450,6450,6450
0.0,-3207,3206,-3265,3150,-1084,1083,-1115,1058,3.13,3.08,3.41,2.69,12900,12900,12900,12900
0.05000591278076172,-3294,3291,-3356,3232,-1245,1227,-1286,1199,1.76,1.48,2.47,1.76,12900,12900,12900,12900
0.1000068187713623,-3395,3389,-3459,3332,-1413,1406,-1444,1377,1.7,1.43,1.7,0.93,12900,12900,12900,12900
0.150007963180542,-3499,3494,-3560,3441,-1554,1556,-1599,1551,1.59,0.93,0.93,0.33,12900,12900,12900,12900
0.2000129222869873,-3612,3603,-3674,3556,-1707,1693,-1747,1713,0.99,0.93,0.82,0.0,12900,12900,12900,12900
0.2500159740447998,-3727,3726,-3801,3672,-1831,1834,-1889,1837,0.88,0.93,0.66,0.0,12900,12900,12900,12900
0.3000209331512451,-3843,3845,-3920,3786,-1939,1942,-1993,1930,0.88,0.88,0.88,0.11,12900,12900,12900,12900
0.3500227928161621,-3961,3955,-4039,3901,-2027,2025,-2069,2008,0.82,0.88,0.82,0.66,12900,12900,12900,12900
0.4000258445739746,-4078,4072,-4150,4013,-2088,2096,-2135,2057,0.88,0.27,0.77,0.11,12900,12900,12900,12900
0.4500298500061035,-4194,4191,-4269,4128,-2141,2156,-2187,2112,0.82,0.77,0.77,0.11,12900,12900,12900,12900
0.5000360012054443,-4313,4317,-4396,4245,-2192,2197,-2230,2160,0.88,0.66,0.82,0.05,12900,12900,12900,12900
0.5500378608703613,-4432,4434,-4516,4364,-2232,2231,-2266,2202,0.82,0.93,0.82,0.0,12900,12900,12900,12900
0.6000418663024902,-4549,4544,-4627,4481,-2255,2256,-2289,2231,0.82,0.22,0.77,0.16,12900,12900,12900,12900
0.6500449180603027,-4667,4663,-4747,4596,-2277,2282,-2312,2250,0.93,0.22,0.88,0.05,12900,12900,12900,12900
0.700049877166748,-4785,4782,-4867,4714,-2290,2298,-2331,2273,0.88,0.71,0.82,0.05,12900,12900,12900,12900
0.7500507831573486,-4902,4905,-4994,4830,-2300,2304,-2342,2284,0.88,0.33,0.82,0.05,12900,12900,12900,12900
0.8000528812408447,-5017,5024,-5113,4947,-2305,2319,-2350,2296,0.82,0.88,0.77,0.0,12900,12900,12900,12900
0.85005784034729,-5134,5132,-5233,5062,-2308,2315,-2360,2292,1.1,0.99,0.82,0.11,12900,12900,12900,12900
0.9000627994537354,-5248,5246,-5344,5180,-2307,2307,-2364,2306,0.88,0.99,0.82,0.27,12900,12900,12900,12900
0.950063943862915,-5364,5363,-5462,5299,-2308,2319,-2364,2321,0.82,0.6,0.71,0.0,12900,12900,12900,12900
1.0000648498535156,-5482,5482,-5581,5418,-2320,2332,-2367,2333,0.88,0.82,0.6,0.0,12900,12900,12900,12900
1.0500679016113281,-5602,5607,-5708,5536,-2337,2330,-2371,2343,0.88,0.93,0.82,0.05,12900,12900,12900,12900
1.1000688076019287,-5721,5724,-5828,5650,-2346,2336,-2376,2326,0.77,0.82,0.77,0.05,12900,12900,12900,12900
1.1500709056854248,-5838,5835,-5939,5766,-2345,2345,-2378,2324,1.04,0.77,0.82,0.11,12900,12900,12900,12900
1.2000749111175537,-5955,5955,-6058,5882,-2340,2352,-2378,2328,0.82,0.99,0.77,0.33,12900,12900,12900,12900
1.2500789165496826,-6073,6070,-6178,5998,-2343,2345,-2383,2326,0.88,0.77,0.82,0.0,12900,12900,12900,12900
1.3000848293304443,-6190,6196,-6305,6116,-2342,2350,-2382,2334,0.88,0.22,0.88,0.0,12900,12900,12900,12900
1.3500888347625732,-6308,6315,-6425,6234,-2351,2356,-2386,2340,0.82,0.82,0.88,0.11,12900,12900,12900,12900
1.4000918865203857,-6426,6423,-6536,6351,-2352,2348,-2385,2340,0.88,0.66,0.93,0.05,12900,12900,12900,12900
1.4500949382781982,-6542,6542,-6653,6470,-2341,2350,-2371,2349,0.88,0.71,0.82,0.0,12900,12900,12900,12900
1.5000998973846436,-6660,6659,-6771,6587,-2350,2348,-2373,2347,0.88,1.04,0.82,0.0,12900,12900,12900,12900
1.5501019954681396,-6779,6783,-6899,6705,-2352,2342,-2374,2350,0.88,0.99,0.71,0.0,12900,12900,12900,12900
1.600106954574585,-6896,6899,-7017,6824,-2348,2341,-2375,2356,0.82,0.49,0.88,0.05,12900,12900,12900,12900
1.6501100063323975,-7012,7010,-7137,6941,-2347,2349,-2380,2348,0.88,0.16,0.66,0.0,12900,12900,12900,12900
1.7001299858093262,-7130,7130,-7248,7057,-2350,2355,-2380,2347,0.88,0.49,0.82,0.05,12900,12900,12900,12900
1.750133991241455,-7249,7246,-7368,7174,-2356,2352,-2384,2345,0.88,0.99,0.88,0.11,12900,12900,12900,12900
1.800135850906372,-7368,7372,-7495,7290,-2361,2355,-2384,2340,0.93,0.82,0.77,0.16,12900,12900,12900,12900
1.8501408100128174,-7486,7490,-7614,7407,-2361,2356,-2383,2336,0.82,0.93,0.77,0.0,12900,12900,12900,12900
