Tiempo,EncA,EncB,EncC,EncD,vA,vB,vC,vD,iA,iB,iC,iD,pwmA,pwmB,pwmC,pwmD
0.04657101631164551,-2,1,-1,0,-17,14,-24,24,2.03,0.88,1.65,0.33,6450,6553,6450,4369
0.09001994132995605,-25,77,-32,73,-126,408,-152,383,3.13,5.22,1.7,4.89,6450,19351,6450,19351
0.13237690925598145,-59,212,-63,201,-248,923,-261,878,1.43,1.76,1.92,1.92,6450,19351,6450,19351
0.17963099479675293,-101,359,-101,351,-399,1419,-370,1350,1.26,1.04,1.98,1.87,6450,19351,6450,19351
0.2268829345703125,-146,520,-141,494,-513,1821,-484,1736,0.93,0.88,1.59,1.92,6450,19351,6450,19351
0.27288389205932617,-196,681,-186,658,-620,2147,-566,2042,0.55,0.99,1.76,1.92,6450,19351,6450,19351
0.32013392448425293,-243,846,-228,811,-706,2427,-654,2351,0.55,0.82,1.26,1.04,6450,19351,6450,19351
0.36614203453063965,-300,1017,-282,996,-791,2677,-741,2620,0.6,0.88,0.88,0.22,6450,19351,6450,19351
0.4096548557281494,-349,1189,-332,1157,-864,2865,-813,2823,0.49,0.82,0.88,0.22,6450,19351,6450,19351
0.4556598663330078,-399,1347,-382,1318,-913,3019,-881,3002,0.49,0.82,0.88,0.33,6450,19351,6450,19351
0.5029158592224121,-454,1521,-437,1505,-957,3164,-923,3142,0.49,0.66,0.82,0.16,6450,19351,6450,19351
0.5501699447631836,-503,1693,-486,1665,-985,3263,-969,3253,0.6,0.71,0.88,0.88,6450,19351,6450,19351
0.5961718559265137,-560,1866,-544,1851,-1019,3351,-1002,3347,0.55,0.82,0.88,0.38,6450,19351,6450,19351
0.640941858291626,-610,2038,-593,2013,-1046,3409,-1033,3420,0.49,0.82,0.71,0.33,6450,19351,6450,19351
0.6856849193572998,-660,2198,-642,2174,-1066,3468,-1051,3477,0.44,0.88,0.93,0.27,6450,19351,6450,19351
0.7329308986663818,-718,2370,-700,2358,-1086,3511,-1073,3518,0.38,0.77,0.88,0.77,6450,19351,6450,19351
0.7789468765258789,-770,2542,-750,2520,-1107,3550,-1085,3560,0.49,0.77,0.88,0.22,6450,19351,6450,19351
0.8262028694152832,-829,2718,-808,2706,-1122,3590,-1099,3594,0.44,0.71,0.82,0.27,6450,19351,6450,19351
0.8734908103942871,-880,2891,-856,2868,-1128,3613,-1102,3620,0.44,0.66,0.99,0.22,6450,19351,6450,19351
0.9194660186767578,-937,3064,-912,3053,-1134,3631,-1108,3637,0.66,0.82,0.82,0.16,6450,19351,6450,19351
0.962975025177002,-986,3237,-959,3212,-1130,3647,-1100,3644,0.55,0.77,0.88,0.82,6450,19351,6450,19351
1.008976936340332,-1034,3399,-1007,3370,-1126,3667,-1107,3639,0.44,0.77,0.93,1.04,6450,19351,6450,19351
1.052475929260254,-1086,3572,-1059,3541,-1127,3672,-1103,3644,0.44,0.82,0.88,0.16,6450,19351,6450,19351
1.0959818363189697,-1136,3729,-1107,3700,-1132,3663,-1108,3653,0.6,0.99,0.93,0.16,6450,19351,6450,19351
1.1394858360290527,-1184,3891,-1157,3859,-1128,3678,-1117,3652,0.49,0.55,0.88,0.88,6450,19351,6450,19351
1.1829969882965088,-1231,4054,-1207,4016,-1117,3693,-1124,3647,0.49,0.66,0.82,0.99,6450,19351,6450,19351
1.228996992111206,-1283,4230,-1262,4188,-1120,3709,-1135,3659,0.49,0.66,0.93,0.27,6450,19351,6450,19351
1.2725069522857666,-1333,4388,-1313,4350,-1122,3693,-1143,3669,0.6,0.99,0.88,0.33,6450,19351,6450,19351
1.3160078525543213,-1383,4544,-1363,4511,-1127,3676,-1145,3682,0.6,0.99,0.77,0.16,6450,19351,6450,19351
1.3595190048217773,-1432,4705,-1414,4673,-1132,3687,-1146,3692,0.49,0.82,0.88,0.33,6450,19351,6450,19351
1.4030258655548096,-1482,4868,-1461,4835,-1137,3696,-1134,3701,0.55,0.82,0.88,0.22,6450,19351,6450,19351
1.4426608085632324,-1528,5015,-1504,4984,-1138,3697,-1124,3701,0.44,0.82,0.88,0.27,6450,19351,6450,19351
1.4875459671020508,-1578,5172,-1553,5143,-1142,3679,-1131,3699,0.77,0.82,0.71,0.33,6450,19351,6450,19351
1.5322928428649902,-1632,5342,-1608,5316,-1144,3676,-1135,3701,0.38,0.82,0.82,0.27,6450,19351,6450,19351
1.5758090019226074,-1680,5504,-1658,5477,-1138,3688,-1143,3704,0.6,0.71,0.82,0.33,6450,19351,6450,19351
1.6200900077819824,-1728,5664,-1708,5639,-1132,3684,-1145,3710,0.55,0.88,0.82,0.33,6450,19351,6450,19351
1.6636378765106201,-1774,5823,-1757,5800,-1115,3686,-1142,3711,1.04,0.82,0.88,0.27,6450,19351,6450,19351
1.707144021987915,-1822,5981,-1805,5961,-1119,3674,-1136,3712,0.49,0.82,0.88,0.33,6450,19351,6450,19351
1.7531399726867676,-1876,6150,-1859,6134,-1121,3664,-1136,3707,0.55,0.88,0.82,0.11,6450,19351,6450,19351
1.7966790199279785,-1924,6311,-1908,6291,-1119,3678,-1135,3691,0.49,0.71,0.77,0.93,6450,19351,6450,19351
1.8401379585266113,-1972,6474,-1958,6450,-1121,3693,-1143,3691,0.38,0.55,0.88,0.44,6450,19351,6450,19351
1.8836510181427002,-2021,6636,-2008,6611,-1119,3697,-1145,3696,0.6,0.77,0.88,0.22,6450,19351,6450,19351
1.9271588325500488,-2074,6791,-2059,6772,-1126,3675,-1134,3700,0.99,0.93,0.82,0.22,6450,19351,6450,19351
1.9739060401916504,-2124,6960,-2105,6945,-1128,3669,-1122,3702,0.49,0.88,0.93,0.49,6450,19351,6450,19351
2.0166749954223633,-2173,7120,-2153,7107,-1128,3669,-1115,3708,0.49,0.93,0.88,0.44,6450,19351,6450,19351
2.0601789951324463,-2222,7276,-2200,7268,-1133,3656,-1109,3710,0.44,0.93,0.82,0.27,6450,19351,6450,19351
2.103677988052368,-2272,7436,-2245,7428,-1136,3668,-1101,3702,0.44,0.71,0.99,0.27,6450,19351,6450,19351
2.14727783203125,-2322,7596,-2293,7586,-1140,3668,-1098,3692,0.49,0.93,0.82,0.33,6450,19351,6450,19351
2.19319486618042,-2375,7764,-2345,7757,-1134,3659,-1101,3691,0.49,0.82,0.88,0.55,6450,19351,6450,19351
2.2367019653320312,-2422,7926,-2391,7917,-1125,3674,-1098,3691,0.44,0.88,0.99,0.6,6450,19351,6450,19351
2.280210018157959,-2470,8085,-2439,8078,-1117,3668,-1096,3691,0.71,0.82,0.88,0.38,6450,19351,6450,19351
2.3237979412078857,-2516,8245,-2485,8236,-1111,3678,-1094,3688,0.49,0.82,0.88,0.77,6450,19351,6450,19351
2.3661048412323,-2564,8403,-2531,8395,-1115,3667,-1084,3685,0.6,0.82,1.32,0.99,6450,19351,6450,19351
2.407104015350342,-2614,8548,-2573,8542,-1116,3660,-1078,3683,0.49,0.93,0.99,0.82,6450,19351,6450,19351
2.450598955154419,-2658,8710,-2619,8702,-1115,3679,-1079,3680,0.49,0.82,0.88,0.82,6450,19351,6450,19351
2.4928619861602783,-2706,8868,-2666,8861,-1118,3668,-1076,3683,0.66,0.82,0.82,0.38,6450,19351,6450,19351
2.5351719856262207,-2754,9015,-2713,9008,-1116,3674,-1082,3677,0.55,0.88,0.88,0.38,6450,19351,6450,19351
2.576124906539917,-2800,9176,-2759,9166,-1122,3681,-1094,3676,0.44,0.82,0.88,0.33,6450,19351,6450,19351
2.6171250343322754,-2850,9321,-2803,9314,-1127,3667,-1091,3681,0.49,0.88,1.1,0.71,6450,19351,6450,19351
2.66064190864563,-2896,9482,-2848,9475,-1132,3681,-1081,3683,0.44,0.88,0.93,0.33,6450,19351,6450,19351
2.701647996902466,-2944,9630,-2896,9623,-1128,3679,-1086,3690,0.49,0.77,0.88,0.22,6450,19351,6450,19351
2.743952989578247,-2988,9788,-2939,9782,-1123,3678,-1084,3682,0.49,0.82,0.88,0.77,6450,19351,6450,19351
2.7861568927764893,-3036,9947,-2985,9939,-1121,3672,-1080,3675,0.44,0.88,1.15,1.04,6450,19351,6450,19351
2.827178955078125,-3081,10090,-3028,10087,-1117,3655,-1079,3675,0.66,0.88,0.88,0.27,6450,19351,6450,19351
2.869407892227173,-3127,10250,-3075,10244,-1107,3667,-1084,3665,0.49,0.82,0.82,0.93,6450,19351,6450,19351
2.9104068279266357,-3172,10397,-3121,10389,-1114,3664,-1096,3658,0.6,0.77,0.88,0.77,6450,19351,6450,19351
2.953984022140503,-3220,10554,-3169,10548,-1104,3661,-1090,3665,0.99,0.88,0.93,0.33,6450,19351,6450,19351
2.99367094039917,-3265,10703,-3212,10694,-1099,3672,-1090,3662,0.44,0.77,0.88,0.99,6450,19351,6450,19351
3.037181854248047,-3310,10858,-3261,10854,-1105,3646,-1094,3664,0.55,0.88,0.88,0.49,6450,19351,6450,19351
3.076931953430176,-3353,11004,-3303,11000,-1095,3656,-1089,3665,0.44,0.77,0.99,0.88,6450,19351,6450,19351
3.120422840118408,-3401,11166,-3351,11160,-1098,3666,-1097,3666,0.49,0.66,0.93,0.49,6450,19351,6450,19351
3.162700891494751,-3450,11325,-3399,11320,-1108,3667,-1095,3675,0.66,0.93,0.88,0.22,6450,19351,6450,19351
3.203805923461914,-3496,11474,-3442,11467,-1111,3681,-1091,3675,0.55,0.77,0.82,0.27,6450,19351,6450,19351
3.2459638118743896,-3545,11633,-3490,11626,-1119,3675,-1094,3674,0.49,0.93,0.88,0.99,6450,19351,6450,19351
3.286958932876587,-3591,11780,-3540,11773,-1120,3679,-1108,3670,0.49,0.82,0.93,0.93,6450,19351,6450,19351
3.330457925796509,-3638,11943,-3586,11933,-1117,3695,-1114,3674,0.44,0.77,0.88,0.22,6450,19351,6450,19351
3.3702268600463867,-3683,12089,-3634,12080,-1114,3683,-1114,3678,0.44,0.88,0.82,0.16,6450,19351,6450,19351
3.41382098197937,-3729,12248,-3678,12240,-1104,3685,-1110,3681,1.21,0.88,0.88,0.38,6450,19351,6450,19351
3.4559929370880127,-3778,12406,-3728,12401,-1113,3673,-1117,3683,0.44,0.82,0.82,0.27,6450,19351,6450,19351
3.4969918727874756,-3824,12551,-3772,12548,-1120,3670,-1115,3686,0.49,0.82,0.88,0.93,6450,19351,6450,19351
3.539254903793335,-3872,12713,-3819,12707,-1118,3683,-1108,3683,0.49,0.77,0.88,0.33,6450,19351,6450,19351
3.582760810852051,-3918,12860,-3867,12866,-1125,3676,-1113,3681,0.44,0.77,0.88,0.88,6450,19351,6450,19351
3.6263508796691895,-3966,13018,-3913,13013,-1121,3676,-1121,3674,1.26,0.82,0.88,0.93,6450,19351,6450,19351
3.6697750091552734,-4018,13191,-3967,13185,-1119,3678,-1127,3677,0.44,0.82,0.77,0.22,6450,19351,6450,19351
3.7095179557800293,-4062,13336,-4012,13333,-1116,3673,-1122,3681,0.71,0.82,0.88,0.38,6450,19351,6450,19351
3.75301194190979,-4109,13498,-4058,13492,-1106,3685,-1116,3683,0.77,0.82,0.82,0.99,6450,19351,6450,19351
3.792766809463501,-4154,13643,-4103,13640,-1114,3675,-1113,3686,0.44,0.82,0.82,0.66,6450,19351,6450,19351
3.8325300216674805,-4200,13791,-4146,13789,-1120,3680,-1106,3693,0.55,0.82,0.82,0.33,6450,19351,6450,19351
3.8760619163513184,-4246,13939,-4192,13950,-1127,3678,-1098,3698,0.6,0.88,0.93,0.38,6450,19351,6450,19351
3.920212984085083,-4296,14097,-4235,14098,-1131,3678,-1095,3696,0.38,0.82,0.93,0.77,6450,19351,6450,19351
3.96309494972229,-4348,14272,-4287,14268,-1128,3692,-1102,3687,0.49,0.82,0.88,1.04,6450,19351,6450,19351
4.00280499458313,-4393,14421,-4333,14415,-1123,3698,-1111,3685,0.6,0.88,0.82,0.82,6450,19351,6450,19351
4.042558908462524,-4434,14570,-4380,14563,-1111,3698,-1117,3688,0.93,0.88,0.82,0.49,6450,19351,6450,19351
4.0860679149627686,-4478,14715,-4423,14711,-1109,3685,-1111,3694,0.44,0.77,0.88,0.38,6450,19351,6450,19351
