Tiempo,EncA,EncB,EncC,EncD,vA,vB,vC,vD,iA,iB,iC,iD,pwmA,pwmB,pwmC,pwmD
0.024970054626464844,-1,1,0,1,-13,8,-8,10,2.03,1.04,0.22,0.33,6450,4369,4369,2184
0.059636831283569336,-26,24,-23,21,-121,129,-113,123,1.7,1.76,1.76,1.7,6450,6450,6450,6450
0.09813785552978516,-50,54,-52,53,-223,239,-222,220,2.64,2.42,1.76,1.81,6450,6450,6450,6450
0.1366429328918457,-81,85,-79,80,-314,340,-313,317,1.92,1.04,1.98,1.81,6450,6450,6450,6450
0.1714038848876953,-112,121,-113,113,-413,443,-416,420,1.76,1.04,1.04,0.88,6450,6450,6450,6450
0.20990586280822754,-153,160,-153,158,-518,542,-523,546,1.21,1.1,0.77,0.49,6450,6450,6450,6450
0.24464797973632812,-190,199,-194,196,-605,629,-618,628,0.82,0.99,0.88,0.82,6450,6450,6450,6450
0.2831559181213379,-234,241,-235,241,-690,707,-702,718,1.04,0.66,0.88,0.33,6450,6450,6450,6450
0.32166099548339844,-278,287,-281,286,-765,788,-775,788,0.88,0.82,0.93,0.71,6450,6450,6450,6450
0.3614170551300049,-320,332,-326,328,-821,841,-839,845,0.93,0.82,0.88,0.77,6450,6450,6450,6450
0.4013228416442871,-364,372,-368,374,-873,891,-888,897,0.99,0.99,0.88,0.38,6450,6450,6450,6450
0.43605685234069824,-406,414,-409,415,-917,923,-920,928,0.88,0.71,0.88,0.82,6450,6450,6450,6450
0.4708108901977539,-445,454,-450,452,-949,949,-956,955,0.93,0.93,0.88,0.22,6450,6450,6450,6450
0.5080678462982178,-490,494,-492,492,-980,976,-986,981,0.88,0.93,0.93,0.38,6450,6450,6450,6450
0.5466439723968506,-532,536,-535,538,-1005,998,-1011,1010,0.82,0.93,0.82,0.77,6450,6450,6450,6450
0.5825788974761963,-573,576,-576,580,-1028,1017,-1032,1032,0.93,0.93,0.82,0.11,6450,6450,6450,6450
0.6198348999023438,-616,618,-618,622,-1046,1036,-1048,1046,0.93,0.49,0.82,0.82,6450,6450,6450,6450
0.6558458805084229,-656,660,-659,662,-1058,1051,-1062,1057,1.1,0.66,0.93,0.49,6450,6450,6450,6450
0.6893479824066162,-694,698,-696,699,-1065,1064,-1069,1061,0.82,0.82,0.82,0.71,6450,6450,6450,6450
0.727855920791626,-731,740,-738,741,-1073,1078,-1079,1074,0.99,0.71,0.88,0.82,6450,6450,6450,6450
0.7625999450683594,-776,781,-780,782,-1080,1088,-1087,1085,1.1,0.99,0.88,0.38,6450,6450,6450,6450
0.8011078834533691,-813,824,-821,824,-1087,1098,-1098,1090,1.15,0.93,0.82,0.77,6450,6450,6450,6450
0.837116003036499,-858,865,-863,865,-1096,1104,-1100,1099,1.04,0.93,0.82,0.05,6450,6450,6450,6450
0.869365930557251,-895,905,-901,902,-1094,1101,-1106,1097,0.88,0.88,0.93,0.71,6450,6450,6450,6450
0.9078738689422607,-932,943,-943,942,-1093,1105,-1118,1096,0.82,0.82,0.88,0.88,6450,6450,6450,6450
0.9451310634613037,-980,988,-989,986,-1103,1107,-1122,1100,0.88,0.88,0.88,0.49,6450,6450,6450,6450
0.981130838394165,-1022,1029,-1032,1023,-1108,1108,-1126,1098,0.99,0.93,0.88,0.33,6450,6450,6450,6450
1.0171568393707275,-1059,1067,-1070,1064,-1105,1113,-1128,1106,1.1,0.93,0.88,0.44,6450,6450,6450,6450
1.0569288730621338,-1100,1107,-1110,1107,-1112,1111,-1123,1113,0.88,0.77,0.82,0.71,6450,6450,6450,6450
1.0979869365692139,-1150,1154,-1159,1156,-1115,1106,-1125,1120,0.93,0.99,0.99,0.66,6450,6450,6450,6450
1.131403923034668,-1190,1195,-1201,1194,-1114,1111,-1131,1123,0.82,0.88,0.88,0.38,6450,6450,6450,6450
1.164909839630127,-1228,1237,-1240,1236,-1120,1115,-1137,1125,0.82,0.77,0.88,0.82,6450,6450,6450,6450
1.2046668529510498,-1270,1276,-1282,1278,-1124,1121,-1140,1125,0.77,0.82,0.88,0.82,6450,6450,6450,6450
1.2369229793548584,-1314,1316,-1325,1314,-1136,1115,-1144,1118,0.88,0.82,0.82,0.71,6450,6450,6450,6450
1.272920846939087,-1353,1357,-1364,1355,-1136,1119,-1148,1118,0.88,0.82,0.82,0.55,6450,6450,6450,6450
1.3078148365020752,-1390,1396,-1406,1392,-1132,1123,-1148,1117,0.82,0.82,0.82,0.71,6450,6450,6450,6450
1.3438189029693604,-1435,1437,-1449,1432,-1131,1122,-1152,1112,0.93,0.88,0.82,0.82,6450,6450,6450,6450
1.3810670375823975,-1475,1478,-1492,1474,-1123,1121,-1155,1122,1.04,0.93,0.82,0.11,6450,6450,6450,6450
1.4170749187469482,-1515,1517,-1533,1517,-1124,1112,-1145,1126,0.88,0.88,0.93,0.16,6450,6450,6450,6450
1.4580810070037842,-1557,1562,-1577,1563,-1127,1114,-1142,1130,0.82,0.22,0.88,0.77,6450,6450,6450,6450
1.4978539943695068,-1603,1608,-1624,1609,-1127,1124,-1148,1137,0.99,0.77,0.88,0.38,6450,6450,6450,6450
1.5338408946990967,-1647,1651,-1666,1652,-1127,1132,-1148,1139,0.93,0.33,0.88,0.77,6450,6450,6450,6450
1.5710968971252441,-1691,1694,-1709,1694,-1137,1134,-1152,1139,0.82,0.71,0.82,0.71,6450,6450,6450,6450
1.6071739196777344,-1733,1736,-1752,1735,-1139,1136,-1155,1136,0.88,0.99,0.88,0.82,6450,6450,6450,6450
1.6481099128723145,-1777,1782,-1800,1780,-1149,1143,-1163,1138,0.93,0.88,0.82,0.49,6450,6450,6450,6450
1.6855008602142334,-1825,1828,-1843,1826,-1153,1143,-1164,1140,0.82,0.49,0.88,0.6,6450,6450,6450,6450
1.7213819026947021,-1867,1865,-1886,1865,-1155,1139,-1166,1145,0.93,0.93,0.82,0.11,6450,6450,6450,6450
1.7586209774017334,-1911,1909,-1929,1908,-1159,1127,-1162,1149,1.04,0.99,0.82,0.82,6450,6450,6450,6450
1.7946460247039795,-1951,1947,-1968,1951,-1152,1130,-1151,1153,0.93,0.77,0.88,0.0,6450,6450,6450,6450
1.8306279182434082,-1993,1988,-2010,1994,-1152,1128,-1146,1156,0.88,0.66,0.93,0.66,6450,6450,6450,6450
1.8678860664367676,-2035,2029,-2052,2036,-1150,1131,-1150,1154,0.93,0.82,0.82,0.22,6450,6450,6450,6450
1.903892993927002,-2079,2071,-2095,2078,-1159,1128,-1154,1148,0.93,0.99,0.88,0.05,6450,6450,6450,6450
