Tiempo,EncA,EncB,EncC,EncD,vA,vB,vC,vD,iA,iB,iC,iD,pwmA,pwmB,pwmC,pwmD
0.0,0,0,0,0,-3,3,-3,3,6.76,6.43,4.34,3.24,12900,12900,12900,12900
0.05000114440917969,-47,52,-48,44,-243,240,-227,231,3.3,3.46,2.64,2.64,12900,12900,12900,12900
0.10000205039978027,-136,138,-134,131,-575,586,-572,553,2.42,2.75,1.81,1.87,12900,12900,12900,12900
0.15000510215759277,-235,235,-233,225,-875,871,-877,837,2.03,2.25,1.76,1.43,12900,12900,12900,12900
0.20000600814819336,-339,335,-336,321,-1138,1117,-1127,1075,1.54,1.81,1.04,0.88,12900,12900,12900,12900
0.25000810623168945,-452,442,-446,432,-1370,1342,-1358,1321,1.1,0.93,0.77,0.27,12900,12900,12900,12900
0.30001115798950195,-572,563,-569,554,-1565,1549,-1574,1536,0.99,0.71,0.82,0.05,12900,12900,12900,12900
0.35001397132873535,-685,680,-694,669,-1720,1716,-1735,1696,0.88,0.11,0.93,0.05,12900,12900,12900,12900
0.40001511573791504,-794,790,-796,776,-1842,1843,-1858,1819,0.93,0.27,0.88,0.11,12900,12900,12900,12900
0.45001697540283203,-909,908,-914,890,-1934,1947,-1964,1916,0.93,0.99,0.82,0.05,12900,12900,12900,12900
0.5000171661376953,-1024,1023,-1032,1007,-2011,2021,-2047,2001,0.99,0.71,0.88,0.27,12900,12900,12900,12900
0.5500190258026123,-1140,1147,-1158,1120,-2080,2088,-2113,2055,0.88,0.99,0.82,0.55,12900,12900,12900,12900
0.600020170211792,-1256,1254,-1269,1233,-2131,2129,-2165,2103,0.88,0.93,0.88,0.11,12900,12900,12900,12900
0.6500229835510254,-1373,1369,-1387,1349,-2170,2172,-2209,2153,0.82,0.6,0.82,0.05,12900,12900,12900,12900
0.7000250816345215,-1489,1486,-1505,1467,-2202,2205,-2242,2189,0.93,0.93,0.88,0.16,12900,12900,12900,12900
0.7500259876251221,-1604,1603,-1622,1584,-2224,2229,-2263,2217,0.99,0.82,0.82,0.11,12900,12900,12900,12900
0.8000261783599854,-1720,1718,-1747,1698,-2237,2244,-2279,2233,0.88,0.93,0.88,0.11,12900,12900,12900,12900
0.8500270843505859,-1834,1835,-1857,1814,-2250,2268,-2297,2250,0.82,0.11,0.82,0.22,12900,12900,12900,12900
0.900029182434082,-1951,1953,-1975,1926,-2269,2283,-2312,2252,0.88,0.27,0.82,0.44,12900,12900,12900,12900
0.9500319957733154,-2068,2069,-2093,2041,-2288,2291,-2325,2259,0.88,0.44,0.77,0.11,12900,12900,12900,12900
1.0000331401824951,-2186,2185,-2213,2155,-2301,2301,-2333,2261,0.77,0.22,0.77,0.44,12900,12900,12900,12900
1.0500340461730957,-2302,2303,-2339,2267,-2302,2314,-2343,2263,1.04,0.33,0.82,0.05,12900,12900,12900,12900
1.1000361442565918,-2416,2422,-2450,2382,-2293,2328,-2346,2267,0.93,0.33,0.82,0.11,12900,12900,12900,12900
1.1500370502471924,-2530,2539,-2568,2496,-2294,2326,-2354,2267,0.88,0.82,0.6,0.05,12900,12900,12900,12900
1.2000401020050049,-2654,2662,-2703,2617,-2305,2326,-2355,2267,0.88,0.55,0.93,0.05,12900,12900,12900,12900
1.2500431537628174,-2772,2779,-2821,2729,-2317,2324,-2360,2261,0.82,0.88,0.82,0.71,12900,12900,12900,12900
1.3000450134277344,-2880,2886,-2933,2833,-2316,2322,-2364,2255,0.93,0.88,0.77,0.38,12900,12900,12900,12900
1.3500471115112305,-2994,3002,-3044,2946,-2305,2322,-2371,2258,0.88,0.6,0.71,0.6,12900,12900,12900,12900
1.400050163269043,-3108,3118,-3163,3058,-2299,2318,-2373,2255,0.99,0.93,0.66,0.16,12900,12900,12900,12900
1.4500510692596436,-3222,3234,-3282,3171,-2300,2322,-2365,2256,0.88,0.93,0.82,0.6,12900,12900,12900,12900
1.5000531673431396,-3339,3349,-3399,3284,-2307,2318,-2368,2256,0.88,0.88,0.82,0.05,12900,12900,12900,12900
1.550055980682373,-3456,3463,-3518,3399,-2316,2306,-2366,2265,0.88,0.93,0.88,0.49,12900,12900,12900,12900
